transaction_id,transaction_amount_usd,transaction_hour,distance_from_home_miles,is_foreign_transaction,transactions_last_24h,merchant_risk_score,fraud
T02095,47,6,57,0,4,29.3,Not Fraud
T02750,10.25,7,41.5,0,0,14.5,Not Fraud
T03128,143.73,5,52.8,0,1,55.9,Not Fraud
T02314,62.33,12,40.2,0,2,17.2,Not Fraud
T03236,89.04,7,4,0,1,33.9,Not Fraud
T00696,11.53,3,73.3,1,1,0.8,Not Fraud
T04181,181.4,13,142.1,0,1,26.1,Fraud
T01076,26.13,22,20,0,1,41.2,Not Fraud
T00940,20.11,3,35.2,0,2,22.2,Not Fraud
T01341,73.96,5,14.1,0,1,14.3,Not Fraud
T04988,7.28,11,9.3,0,4,4.3,Fraud
T00009,19.96,9,10.7,0,1,15.9,Not Fraud
T00973,139.94,4,57.5,0,2,48,Not Fraud
T00992,72.48,14,13.7,0,1,20,Not Fraud
T01512,53.91,22,28.9,0,0,18.4,Not Fraud
T02935,63.29,7,1.5,0,3,37,Not Fraud
T01017,11.72,21,6.6,0,4,8.5,Not Fraud
T04565,20.82,21,3.2,0,4,19.5,Not Fraud
T03388,17.78,13,13.2,0,2,30.2,Not Fraud
T01463,70.5,11,77.5,0,0,44,Fraud
T03105,10.97,4,7.5,0,3,30,Not Fraud
T00306,3.06,11,9.7,0,2,31.3,Not Fraud
T00925,18.34,12,1.4,0,3,15.2,Not Fraud
T02740,51.04,21,6.5,0,2,26.7,Not Fraud
T03732,42.19,12,12.5,0,3,27.4,Not Fraud
T01166,79.23,17,1.9,0,3,8.6,Not Fraud
T01517,15.57,2,1.9,0,4,22.4,Not Fraud
T04119,56.88,15,29.3,0,5,13.9,Fraud
T01832,59.57,19,6,0,6,40.6,Not Fraud
T00286,55.85,4,3.8,0,3,40.5,Not Fraud
T03460,11.83,8,15.9,0,3,8.5,Not Fraud
T02058,13.75,22,6.4,0,0,27.1,Not Fraud
T01272,26.21,7,107.1,0,0,18.6,Not Fraud
T02582,23.13,16,11.7,0,2,11.2,Not Fraud
T04273,17.91,20,7.4,0,0,51.7,Not Fraud
T02170,59.82,6,2,0,2,11.7,Not Fraud
T02778,120.2,5,9.8,0,1,21.1,Not Fraud
T04258,30.16,18,4.6,0,1,19.4,Not Fraud
T01128,109.61,13,6.7,0,3,3.6,Not Fraud
T02111,18.06,5,63.2,0,3,13.4,Not Fraud
T03806,28.86,7,5.1,0,3,58.3,Fraud
T03584,91.92,9,2.3,0,3,14.3,Not Fraud
T00299,32.72,0,4,0,0,30.1,Not Fraud
T03986,20.25,18,34.8,0,3,20.6,Not Fraud
T01778,128.46,0,7.3,0,6,25.9,Fraud
T03189,59.24,9,23.5,0,2,43.4,Not Fraud
T01593,43.13,6,0.3,0,1,29.8,Not Fraud
T03795,4.19,6,9.3,0,2,42.5,Not Fraud
T03970,44.79,3,10.3,0,1,15.3,Not Fraud
T02310,43.93,22,2.1,0,0,20.6,Not Fraud
T04212,55.21,10,21.8,0,1,50.8,Not Fraud
T01389,12.46,10,38.8,1,3,18.2,Not Fraud
T02968,44.85,3,9.7,0,1,34.5,Not Fraud
T01146,65.74,12,24.2,0,1,27.4,Not Fraud
T01888,30.82,14,5.4,0,3,28.9,Not Fraud
T01592,43.56,3,0.4,0,1,24,Not Fraud
T02500,17.57,4,19,0,5,42.3,Fraud
T00289,43.45,20,2.4,0,0,37.1,Not Fraud
T01674,120.85,22,1.4,0,5,5.5,Not Fraud
T00772,9.9,10,17.3,0,2,6,Not Fraud
T01987,91.02,6,74.9,0,0,35.4,Not Fraud
T02614,151.21,6,22.2,0,2,36.3,Not Fraud
T04068,75.99,9,18.6,0,1,12.9,Not Fraud
T03437,42.03,21,9.2,0,1,17.9,Not Fraud
T03136,32.76,4,35.2,1,0,10.4,Not Fraud
T00380,63.99,12,33,0,2,10.4,Not Fraud
T04197,16.18,14,2.4,0,2,36.9,Not Fraud
T03680,52.65,6,39.2,1,1,39.5,Not Fraud
T01266,62.75,18,1.6,0,3,25.4,Not Fraud
T03658,87.49,5,17.5,0,1,45.9,Not Fraud
T02134,47.82,1,5.2,0,2,49.2,Not Fraud
T00227,209.39,23,59.3,0,1,52.7,Not Fraud
T04846,64.21,23,1.8,0,2,14.8,Not Fraud
T03818,15.43,1,48.9,0,0,8.1,Not Fraud
T03219,16.67,16,9.8,0,1,66.7,Not Fraud
T03967,22.9,23,7.4,1,2,41.2,Fraud
T03278,46.27,12,7.4,0,0,32.9,Not Fraud
T04135,40.66,20,49.1,0,3,44.7,Not Fraud
T03564,168.55,18,9.1,0,2,9.4,Not Fraud
T03715,5.22,15,23.1,0,2,10.2,Not Fraud
T02282,186.48,12,1.3,0,2,46.5,Not Fraud
T02050,13.64,6,10.4,0,3,16.5,Not Fraud
T02268,35.81,5,7,0,0,25.3,Not Fraud
T02177,18.2,16,131.4,0,1,49,Fraud
T03959,1.9,17,17.3,0,6,12.6,Not Fraud
T02557,122.67,0,25.9,0,1,42.3,Not Fraud
T03110,36.22,6,161.4,0,1,23.2,Not Fraud
T02153,128.45,12,33.8,0,7,61.7,Not Fraud
T00464,253.82,4,3.8,0,2,11.6,Not Fraud
T01828,22.87,4,20.5,0,2,38,Not Fraud
T03690,27.69,0,36.7,0,4,29,Not Fraud
T03056,321.24,14,98.4,0,2,19.3,Fraud
T01211,26.45,11,10.2,0,6,57.3,Fraud
T00626,24.26,20,14.9,1,0,26.2,Not Fraud
T00052,74.66,11,79.3,0,4,23.2,Not Fraud
T00928,8.62,15,85.1,0,2,14.5,Not Fraud
T04224,63.17,13,0.3,0,0,23.3,Not Fraud
T04316,263.2,15,219.9,0,3,37.6,Fraud
T00151,95.97,18,1.8,0,2,14.8,Not Fraud
T04904,166.98,14,18,0,2,33.2,Fraud
T04453,440.96,5,15.1,0,2,12.9,Not Fraud
T00605,48.87,0,5.3,0,1,40.3,Not Fraud
T03797,135.11,3,3.8,0,1,25.8,Not Fraud
T01751,24.77,9,7.3,0,1,73.8,Not Fraud
T01004,70.17,8,7.3,0,3,22.1,Not Fraud
T03062,41.33,10,1.1,0,2,43.4,Not Fraud
T04998,69.16,4,11.6,0,1,12.1,Fraud
T03751,49.6,7,1,0,1,5.9,Not Fraud
T00255,12.71,12,72.9,0,2,21.2,Not Fraud
T01848,22.87,2,11.4,1,0,34.7,Not Fraud
T00996,35.23,4,12.4,0,2,3.4,Not Fraud
T00804,13.36,22,40.5,0,5,39.1,Not Fraud
T02586,48.18,6,28.4,0,4,38,Not Fraud
T02949,35.13,13,16.4,0,3,38.4,Not Fraud
T00387,53.79,19,7.4,0,3,15.2,Not Fraud
T00508,52.32,4,34.2,1,4,20.6,Fraud
T01700,3.66,3,88.1,0,2,38.3,Fraud
T04045,8.02,13,2.9,0,8,18.2,Not Fraud
T04406,40.57,9,11.1,0,3,44.2,Fraud
T04738,56.59,23,63.7,0,3,28.8,Fraud
T01753,7,3,94,0,6,9.7,Fraud
T00871,53.52,3,3.9,0,2,32.3,Not Fraud
T01791,161.88,13,49.4,0,2,18.7,Not Fraud
T02221,29.64,19,5.9,0,2,20.8,Not Fraud
T02833,223.02,6,34.6,0,1,35.8,Not Fraud
T01351,24.16,20,18.3,0,3,8,Not Fraud
T04156,13.55,12,3.8,0,4,57.2,Not Fraud
T02850,25.42,6,2.8,0,3,15.6,Not Fraud
T01055,235.62,14,49.3,0,0,24.6,Not Fraud
T04780,20.56,18,22.5,0,5,40.7,Fraud
T01682,17.79,17,6.4,0,2,19.1,Not Fraud
T01434,832.07,14,37.6,0,1,42.6,Not Fraud
T04221,11.48,21,13.1,0,3,44.6,Not Fraud
T02975,44.63,20,3.2,0,0,8.5,Not Fraud
T02531,18.98,3,0.2,0,3,4.7,Not Fraud
T01339,45.81,3,14.7,0,2,6.9,Not Fraud
T00893,49.64,18,19.7,0,3,32.1,Not Fraud
T03831,35.69,13,8.6,0,2,5.5,Not Fraud
T04844,15.94,13,21.4,0,3,18.9,Not Fraud
T02105,239.31,3,6.3,0,2,13,Not Fraud
T02002,98.22,15,1.3,0,2,22.7,Not Fraud
T00774,61.46,16,30.7,0,3,13,Not Fraud
T00954,24.92,18,16.9,0,2,37.2,Not Fraud
T03673,13.59,4,28,0,3,40.5,Not Fraud
T00833,26.7,4,17.4,0,0,43.4,Not Fraud
T02132,8.96,5,43.4,0,0,22.5,Not Fraud
T04130,71.49,3,2,0,4,48.6,Not Fraud
T02323,37.12,10,6.9,0,1,32.7,Not Fraud
T03244,52.02,11,13.4,1,1,46,Fraud
T03906,10.04,1,1.7,0,2,27.1,Not Fraud
T04297,12.15,0,1.4,0,3,23.9,Not Fraud
T02419,12.43,21,0.6,0,0,59.9,Not Fraud
T04553,13.9,14,2,1,1,31.6,Not Fraud
T01701,18.21,19,10,0,4,37.1,Fraud
T03446,37.87,23,17.9,0,4,7,Not Fraud
T02148,6.73,15,4.6,0,6,32.5,Not Fraud
T02197,17.29,6,7.3,0,1,21.8,Not Fraud
T01615,19.7,0,16.7,0,1,16.5,Not Fraud
T02965,2.37,10,29.3,0,3,8.4,Not Fraud
T01052,265.8,4,6.5,0,0,29.2,Not Fraud
T04215,14.49,16,2.9,0,1,44.2,Not Fraud
T00820,30.51,15,7.9,0,1,18.1,Not Fraud
T00062,163.93,8,2.9,0,4,16.6,Not Fraud
T01727,125.7,20,27.8,0,2,18.7,Not Fraud
T00910,21.27,15,1.2,0,2,29.1,Not Fraud
T03228,87.28,6,6.5,0,2,36.5,Not Fraud
T03687,13.44,8,8.1,1,2,56.9,Not Fraud
T01808,64.69,16,11.6,0,4,28.4,Not Fraud
T02910,31.01,13,1.5,0,4,16.8,Not Fraud
T03744,441.57,7,5.5,0,3,15,Not Fraud
T02974,70.88,11,15,0,1,38.1,Not Fraud
T02537,45.75,5,6.5,0,0,25.9,Not Fraud
T02536,41.4,19,33,0,5,44.2,Not Fraud
T00802,77.23,23,7.3,0,4,26.8,Not Fraud
T00869,28.98,22,35.7,0,2,29.6,Not Fraud
T00396,13.17,0,4.2,0,2,45.4,Not Fraud
T02873,104.11,14,22.7,0,0,46.1,Not Fraud
T00503,15.14,4,8.3,0,1,57.3,Not Fraud
T02620,12.79,23,73.7,0,1,25.7,Not Fraud
T00431,4.64,1,23.8,0,3,30.6,Not Fraud
T00324,11.83,18,35.5,1,0,21.7,Not Fraud
T00046,8.16,22,10.7,0,2,15.7,Not Fraud
T00524,84.85,17,29.4,0,1,63.7,Not Fraud
T04601,34.48,14,42.6,0,1,35.8,Not Fraud
T03196,36.67,11,31.9,0,5,14.2,Not Fraud
T03681,23.95,14,33.3,0,2,44,Not Fraud
T04367,26.18,15,17.4,0,1,9.8,Not Fraud
T04109,32.42,5,225.8,0,2,43,Fraud
T04542,43.9,19,48.1,0,2,16.6,Not Fraud
T01859,52.14,19,3.6,0,0,48,Not Fraud
T04671,8.55,21,8,1,5,16.4,Not Fraud
T02868,15.36,6,3.8,0,4,54.9,Fraud
T00117,150.23,13,35.5,0,3,50.2,Not Fraud
T01630,61.77,11,52.6,0,1,17.8,Not Fraud
T01707,223.54,11,1.2,0,2,59.6,Not Fraud
T02928,4.86,13,75.6,0,2,35.6,Not Fraud
T02776,186.79,13,26.7,0,3,20.7,Not Fraud
T00398,27.58,6,13,0,1,52,Not Fraud
T01920,51.56,10,20,0,1,30.6,Not Fraud
T01388,14.59,8,2,0,1,23.7,Fraud
T04428,7.97,17,33.8,0,3,19.4,Not Fraud
T01502,23.68,16,1.9,0,3,55.4,Not Fraud
T02347,315.76,13,7.8,0,2,39.2,Not Fraud
T00165,24.93,18,2.1,0,2,51.7,Not Fraud
T02832,22.32,20,0.9,0,6,20.6,Not Fraud
T02162,6.77,11,27.8,0,5,35.5,Not Fraud
T02294,5.37,4,9.4,0,1,47.3,Not Fraud
T01529,34.44,17,1.8,0,4,41.7,Not Fraud
T04019,18.04,5,139.2,0,2,13.5,Not Fraud
T00541,37.57,23,10.3,0,1,16.7,Not Fraud
T03519,20.79,5,5.1,0,1,20.5,Not Fraud
T04792,12.18,0,0.5,0,2,18.6,Not Fraud
T03492,14.25,18,37,0,0,17.6,Not Fraud
T04714,64.33,7,118.1,0,1,40.2,Fraud
T02442,118.54,20,38.7,0,3,28.2,Not Fraud
T04955,27.01,16,7.8,0,2,25,Not Fraud
T03413,208.37,15,3.3,0,4,6.5,Not Fraud
T03242,38.92,21,5.7,0,2,15.9,Not Fraud
